Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
4d333140-761d-c830-b9f8-74b9e8fb5210,1973-05-13,,999-58-6664,S99954614,X27339922X,Mr.,Walker122,,Willms744,,,M,white,hispanic,M,Danvers  Massachusetts  US,153 Mante Gate Unit 73,Westford,Massachusetts,Middlesex County,,00000,42.56251693958965,-71.43259868766195,124558.08,13486.85,160472
af5e1c55-3b63-b74d-78d0-d5461b68ab3b,1995-09-04,,999-51-6828,S99965730,X67134259X,Mrs.,Tashia814,Syble581,Turner526,,Abshire638,M,white,nonhispanic,F,Boston  Massachusetts  US,760 Heller Vista,North Reading,Massachusetts,Middlesex County,,00000,42.55816053280501,-71.10336692619468,108211.04,182451.23,144583
0fb8cfe4-89bb-e3a6-e9eb-3a3a34e9a2a7,2004-09-29,,999-28-9833,S99974503,X22081968X,Ms.,Sam879,Lynne528,Bailey598,,,,white,nonhispanic,F,Burlington  Massachusetts  US,1021 Jakubowski Village Suite 48,Hadley,Massachusetts,Hampshire County,,00000,42.40495082183231,-72.55850203338674,78826.41,43280.11,58184
c736758f-3ce0-cf64-2d04-a8302a2da185,1960-01-24,,999-55-5837,S99925331,X29146222X,Mr.,Cole117,,Boehm581,JD,,M,white,nonhispanic,M,Westford  Massachusetts  US,136 Corwin Camp Suite 69,Beverly,Massachusetts,Essex County,25009,01915,42.556033015609344,-70.79522853846834,183627.58,46623.43,197782
47247521-f753-697f-dbfd-ad239cd267bb,2022-12-23,,999-26-9799,,,,Jame231,,Crooks415,,,,white,nonhispanic,M,Woburn  Massachusetts  US,416 Mann Arcade,Newton,Massachusetts,Middlesex County,25017,02466,42.32307692216427,-71.29786023183182,8246.92,0.00,157740
2b257d1e-6941-b32a-47a1-fd7c4b30b6e1,2014-02-06,,999-86-3743,,,,Tyrone215,Salvatore257,Little434,,,,white,nonhispanic,M,Gloucester  Massachusetts  US,452 Sipes Flat,Franklin,Massachusetts,Norfolk County,25021,02038,42.09731470911177,-71.44363845134033,40366.90,0.00,54705
a6acc76a-b5c9-78f1-a448-053c162e6f14,1991-03-09,,999-13-3889,S99994161,X74572350X,Ms.,Paulita78,Marquitta546,Kuhlman484,,,S,white,nonhispanic,F,Westfield  Massachusetts  US,1055 Huel Dale Apt 72,Shrewsbury,Massachusetts,Worcester County,,00000,42.29950730458369,-71.7111326220778,294817.73,325412.02,115275
f954f902-0b3f-eb41-0b90-fbd520e7739c,1997-04-07,,999-48-2591,S99938251,X47961636X,Mrs.,Ossie995,Chae49,Von197,,Pacocha935,M,white,nonhispanic,F,Easton  Massachusetts  US,904 Donnelly Lane,Falmouth,Massachusetts,Barnstable County,25001,02540,41.62137346382253,-70.57303114990475,122825.49,515524.42,71516
c6142853-0e6a-e316-7c66-67175f5272e5,2015-04-09,,999-21-7981,,,,Fay398,Natividad796,Stracke611,,,,white,nonhispanic,F,Plymouth  Massachusetts  US,441 Hamill Parade,Lawrence,Massachusetts,Essex County,25009,01841,42.75601712005068,-71.13865606500904,20197.94,26556.80,71916
6879c649-4126-b750-2f3d-8ccbb7819ef5,1984-11-23,,999-42-3836,S99976089,X73676883X,Mr.,Markus389,Derick144,Effertz744,,,M,white,nonhispanic,M,Fitchburg  Massachusetts  US,136 Sawayn Ranch Apt 36,Everett,Massachusetts,Middlesex County,25017,02149,42.40156388616818,-71.06262515373851,113077.76,27016.05,85306
d724ec72-8446-b458-77f7-542c6ddbdadf,1996-12-01,,999-31-1988,S99935961,X37777543X,Mrs.,Regenia619,,Frami345,,Kuhn96,M,white,nonhispanic,F,Wrentham  Massachusetts  US,576 Mayert Skyway,New Bedford,Massachusetts,Bristol County,25005,02746,41.609361915542706,-70.93665413006786,174022.69,904508.47,44959
cd04b745-8f99-3a92-b272-ba4956d304c9,1947-04-27,,999-29-2016,S99937428,X15734580X,Mrs.,Maybelle917,Mira443,Wiegand701,,Gottlieb798,M,white,hispanic,F,Franklin  Massachusetts  US,294 Rutherford Park,Agawam,Massachusetts,Hampden County,25013,01001,42.01703986565857,-72.6546313461208,152679.19,1030368.39,25822
3a56a437-19dc-7963-695d-472b0455067c,1972-02-18,,999-98-9917,S99968897,X68696535X,Mr.,Asa127,Hobert364,Boehm581,,,D,white,hispanic,M,Lakeville  Massachusetts  US,809 Kuvalis Park Apt 27,Agawam,Massachusetts,Hampden County,25013,01001,42.06754146275139,-72.61870572838907,168140.49,20223.04,54761
e1162f7b-cd7e-9cd6-840c-52e8bbb00d8c,2007-08-08,,999-27-3306,S99928819,,Mr.,Gilberto712,Ervin886,Satterfield305,,,,black,nonhispanic,M,Chelsea  Massachusetts  US,803 Jacobs Neck Suite 57,Boston,Massachusetts,Suffolk County,25025,02118,42.35304031226348,-71.08667979995055,45765.24,31838.55,68950
a295f9c5-0454-63f7-122a-e83afdde3d71,2004-10-12,,999-43-4031,S99948252,X8344976X,Mr.,Federico589,Lorenzo669,León820,,,,black,hispanic,M,Port-au-Prince  Haiti  HT,206 Bednar Overpass Suite 69,Springfield,Massachusetts,Hampden County,25013,01199,42.08063767953116,-72.64568731177363,85130.56,0.00,72521
3888aedd-cd70-62ac-cda0-b84f21fdb8ed,2002-09-02,,999-14-2948,S99962179,X28205855X,Ms.,Genevie117,Lizzette325,Larkin917,,,,white,hispanic,F,Boxford  Massachusetts  US,1048 McCullough Estate Suite 80,Boston,Massachusetts,Suffolk County,25025,02122,42.27950052746956,-71.06392791679754,74751.71,165145.96,62609
21dfa689-cd14-4f27-eb79-fca0ac5e9e37,2015-05-01,,999-11-2217,,,,Silvia880,Claudia969,Llamas954,,,,white,hispanic,F,Wesley  Saint Andrew Parish  DM,626 Boyle Rest,Douglas,Massachusetts,Worcester County,,00000,42.03068469166603,-71.71377831802815,28094.43,2681.36,38435
33b8466e-f4fe-8607-7ddd-b5cdb535cced,2024-07-18,,999-48-1387,,,,Bennie663,Sebastian508,Reinger292,,,,white,hispanic,M,Brockton  Massachusetts  US,756 Glover Crossroad,Springfield,Massachusetts,Hampden County,25013,01151,42.10707590990352,-72.52757914386777,250.00,5181.49,11864
71c7d51a-8a36-c22d-6d39-4768b365f317,1987-02-27,2007-08-04,999-29-7618,S99915694,X78920537X,Mr.,Phil587,,Johnson679,,,,white,nonhispanic,M,Stow  Massachusetts  US,781 Langosh Vista,Boston,Massachusetts,Suffolk County,25025,02127,42.37132397180039,-71.08161103796796,5188.63,63615.04,9666
83d41412-1b78-0cdd-1674-db67fd0f3092,1987-02-27,,999-45-7949,S99979309,X27842509X,Mr.,Byron202,,Conn188,,,S,white,nonhispanic,M,Attleboro  Massachusetts  US,497 Wolff Overpass,Boston,Massachusetts,Suffolk County,25025,02113,42.2362344421538,-71.1206555509708,6278.52,102940.88,9666
6a48196f-b049-ee0f-5cc2-6aa927bc13b9,1960-04-10,,999-14-7892,S99961364,X72626019X,Ms.,Ivelisse712,Denisse335,Fisher429,,,S,white,nonhispanic,F,Townsend  Massachusetts  US,306 Goodwin Branch Unit 30,Framingham,Massachusetts,Middlesex County,25017,01702,42.30876425038801,-71.41839900313299,18031.32,1204275.28,14747
9b696c00-636f-41eb-055f-a78998fdbd82,1970-03-16,,999-56-1948,S99913473,X36541168X,Mrs.,Karine844,Kimiko714,Leannon79,JD,Bartoletti50,M,black,nonhispanic,F,Melrose  Massachusetts  US,271 Goodwin Well,Sudbury,Massachusetts,Middlesex County,,00000,42.42488570226183,-71.39501271184263,1071178.97,1059282.90,116123
e737f7c2-0e8d-a515-0a1e-c5ac4c867592,2023-06-17,,999-93-2389,,,,Eli762,Johnnie679,Schamberger479,,,,white,nonhispanic,M,Holden  Massachusetts  US,102 Schoen Landing,Lynn,Massachusetts,Essex County,25009,01906,42.46130580060636,-71.02825785093783,4975.67,2406.67,70736
49aaf697-fcd3-76d0-abca-b0d6d058beff,2021-04-20,,999-23-1938,,,,Ying817,Randy380,Roob72,,,,asian,nonhispanic,F,Holland  Massachusetts  US,655 White Promenade,New Bedford,Massachusetts,Bristol County,25005,02746,41.671292498526995,-70.8730897667285,19717.15,0.00,55717
8fb51d46-ed54-cd80-6210-a0698c0387ab,1959-09-14,,999-65-1005,S99912557,X2704028X,Mrs.,Perry780,Cordia574,Cassin499,,Kshlerin58,M,white,nonhispanic,F,Easthampton  Massachusetts  US,831 Adams Crossroad Suite 61,Cochituate,Massachusetts,Middlesex County,,00000,42.33506976725407,-71.38010929302456,205036.98,1178209.69,207660
50f34d8e-988e-82a3-e456-63a54cc311af,2002-05-15,,999-98-1467,S99921785,X16012755X,Ms.,Marni913,Jenny686,Gaylord332,,,,white,hispanic,F,Medford  Massachusetts  US,329 Koss Mill Apt 46,Marblehead,Massachusetts,Essex County,25009,01945,42.47685848371089,-70.89918612449151,116539.42,94703.84,140927
c500f261-d9a8-e1a7-e6cb-7bbf718a186c,2024-03-06,,999-18-3976,,,,Mercedes82,Brande998,Marks830,,,,white,nonhispanic,F,Eastham  Massachusetts  US,612 Heidenreich Plaza Apt 35,Boston,Massachusetts,Suffolk County,25025,02203,42.361778801540915,-71.0159042170057,5419.12,0.00,265597
f5201fcb-d7fa-7906-dbd2-3aa8daa7f026,1980-09-18,,999-42-4362,S99968433,X3106775X,Mrs.,Kindra525,Hassie51,Wisozk929,,Kuphal363,M,white,nonhispanic,F,Boston  Massachusetts  US,845 Gislason Parade,Newton,Massachusetts,Middlesex County,25017,02464,42.297491810596426,-71.14495825401723,178939.97,513743.30,598376
127f754a-6111-1d01-b165-ee5c65704567,2018-05-14,,999-15-1255,,,,Ivory697,Pete38,Hintz995,,,,white,nonhispanic,M,Melrose  Massachusetts  US,603 Graham Gardens,Fall River,Massachusetts,Bristol County,25005,02790,41.696866653939054,-71.10376309030883,13221.46,7317.05,28221
fdaef9b1-877f-4539-6a09-b3a9c852be39,2022-01-31,,999-66-4395,,,,Loren192,Jewel43,Friesen796,,,,white,nonhispanic,M,Medway  Massachusetts  US,809 Bergnaum Lane Unit 8,Groton,Massachusetts,Middlesex County,25017,01450,42.659150276301105,-71.52193320570154,5637.04,3138.03,98218
0ca05b00-82dc-4b42-348c-b9d58be9e632,1969-04-23,,999-58-2270,S99924747,X10472204X,Mrs.,Golda777,Torie475,Koelpin146,,Purdy2,M,white,nonhispanic,F,Duxbury  Massachusetts  US,1072 Cummings Lodge,Leicester,Massachusetts,Worcester County,,00000,42.2721759385628,-71.9618441321239,197999.22,1108756.95,25061
c8f617e0-7bce-6a73-45f5-e959fc6d6de8,2008-04-25,,999-51-9462,S99973263,,Mr.,Rory188,Nicky270,Orn563,,,,white,nonhispanic,M,Cambridge  Massachusetts  US,913 Bogisich Tunnel Suite 37,Milford,Massachusetts,Worcester County,25027,01757,42.13984958310145,-71.47995468569904,26177.07,24453.90,131826
341fc7f7-9a7a-bbb0-9040-894f9f01b746,1986-01-19,,999-50-4450,S99993400,X85857176X,Ms.,Zulma701,Debbie941,Gulgowski816,,,S,white,nonhispanic,F,Barnstable  Massachusetts  US,135 McClure Gardens Suite 13,Hopkinton,Massachusetts,Middlesex County,25017,01748,42.26778632067255,-71.50818770493461,282624.42,126079.50,60168
9df59496-c952-1587-b215-9e303bfac6cd,1947-10-28,1998-04-27,999-61-6094,S99953913,X3351499X,Mrs.,Margaret865,,Weber641,,Zieme486,M,white,nonhispanic,F,Tyngsborough  Massachusetts  US,883 Prosacco Grove,Taunton,Massachusetts,Bristol County,25005,02780,41.85379023051987,-71.03141559632692,26451.31,1353034.73,2670
567d6907-8ac0-f4ae-2b61-0f3f5a383838,1985-10-30,,999-10-9009,S99981139,X65068012X,Ms.,Mariel814,Valery629,Larkin917,,,S,white,hispanic,F,Springfield  Massachusetts  US,1075 Ebert Underpass Suite 32,Boston,Massachusetts,Suffolk County,25025,02119,42.27711743609533,-71.14020829143577,109199.01,157762.09,97540
2c906f42-9102-f15c-8b3b-27268e6b1405,2008-03-06,,999-22-9044,S99941524,,Mr.,Mose244,Mason910,Green467,,,,white,nonhispanic,M,Moscow  Moscow  RU,198 Lubowitz Common,Ocean Bluff-Brant Rock,Massachusetts,Plymouth County,,00000,42.07908157381043,-70.66574703040614,105303.47,684644.43,122932
0826c4e7-e2ca-a5ec-bd7b-119397bb2046,1947-10-28,,999-54-1155,S99915175,X12548699X,Mrs.,Eura647,Teresa94,Parisian75,,Macejkovic424,M,white,nonhispanic,F,Fitchburg  Massachusetts  US,959 Weissnat Corner Suite 97,Taunton,Massachusetts,Bristol County,25005,02718,41.95645696038129,-71.08466247851273,18117.06,1029882.14,2670
91cffb5a-8934-07c7-1ea6-16ae2fd61ef0,1941-06-18,,999-61-4285,S99980392,X16319257X,Mrs.,Naoma512,Harriett813,Sawayn19,,Lynch190,M,white,nonhispanic,F,Haverhill  Massachusetts  US,349 McLaughlin Highlands,Dudley,Massachusetts,Worcester County,,00000,42.06112506373422,-71.9602557186029,927435.86,412987.58,53758
ecb82c3b-16e3-6b3d-05b6-cae86670e12d,2014-11-29,,999-72-3709,,,,Art115,Stanford577,Skiles927,,,,black,nonhispanic,M,Springfield  Massachusetts  US,381 Schinner Lane,Boston,Massachusetts,Suffolk County,25025,02110,42.39715031997897,-71.05560989923337,21460.14,169.85,80380
fc54c463-0e69-2416-3d11-0b2e5bab9468,1971-07-10,,999-10-6818,S99993929,X65727748X,Mrs.,Joannie32,Vickie113,Walsh511,PhD,Bernhard322,D,white,nonhispanic,F,Somerset  Massachusetts  US,1069 Donnelly Junction Unit 55,East Douglas,Massachusetts,Worcester County,25027,01516,42.04203454399531,-71.75583232967988,555396.05,330225.90,89770
dd9d9999-8e3f-134d-e124-69e8c8e3d89e,2004-04-15,,999-89-3543,S99959621,X34282906X,Ms.,Carla633,María842,Olivera810,,,,other,hispanic,F,Santiago  Santiago Province  CL,397 MacGyver Knoll Apt 37,Boston,Massachusetts,Suffolk County,25025,02210,42.3273188014149,-71.0418146910338,9185.51,321166.22,21938
1f0d8f7c-0e0c-53e7-0b5b-bd2737ccfe95,2012-08-14,,999-67-1205,,,,Joesph309,Glen190,Kris249,,,,native,nonhispanic,M,Boston  Massachusetts  US,450 Mraz Loaf,Andover,Massachusetts,Essex County,25009,01810,42.625404103832324,-71.19530306166111,28263.67,3676.92,151614
